experiment_id,algorithm,dataset,distribution,num_clients,dirichlet_alpha,differential_privacy,client_dropout_prob,final_accuracy,final_auc,training_rounds
exp_215,fedprox,heart,dirichlet,10,10.0,false,0.5,0.8146341463414634,0.8983899357650663,10
exp_216,fedprox,heart,dirichlet,10,1.0,false,0.5,0.8156097560975609,0.8901567393341817,10
exp_217,fedprox,cancer,iid,3,,true,0.0,0.9138840070298769,0.9822551662174304,10
exp_218,fedprox,cancer,iid,5,,true,0.0,0.9015817223198594,0.9556445219597274,10
exp_219,fedprox,cancer,iid,10,,true,0.0,0.929701230228471,0.9755430474076423,10
exp_220,fedprox,cancer,iid,3,,true,0.3,0.9279437609841827,0.9860472490883145,10
exp_221,fedprox,cancer,iid,5,,true,0.3,0.8998242530755711,0.9537154484435284,10
exp_222,fedprox,cancer,iid,10,,true,0.3,0.8664323374340949,0.9602293747687755,10
exp_223,fedprox,cancer,iid,3,,true,0.5,0.9472759226713533,0.9902885682574917,10
exp_224,fedprox,cancer,iid,5,,true,0.5,0.9191564147627417,0.982519422863485,10
exp_225,fedprox,cancer,iid,10,,true,0.5,0.8980667838312829,0.9432773109243697,10
exp_226,fedprox,cancer,iid,3,,false,0.0,0.945518453427065,0.9860868875852228,10
exp_227,fedprox,cancer,iid,5,,false,0.0,0.9367311072056239,0.9848184556841605,10
exp_228,fedprox,cancer,iid,10,,false,0.0,0.9279437609841827,0.9763754558427145,10
exp_229,fedprox,cancer,iid,3,,false,0.3,0.945518453427065,0.985188414988637,10
exp_230,fedprox,cancer,iid,5,,false,0.3,0.9507908611599297,0.988940859362613,10
exp_231,fedprox,cancer,iid,10,,false,0.3,0.9244288224956063,0.9822287405528248,10
exp_232,fedprox,cancer,iid,3,,false,0.5,0.9472759226713533,0.9886633898842556,10
exp_233,fedprox,cancer,iid,5,,false,0.5,0.9543057996485061,0.9857037154484436,10
exp_234,fedprox,cancer,iid,10,,false,0.5,0.9103690685413005,0.9707600021140532,10
exp_235,fedprox,cancer,noniid,3,,true,0.0,0.8998242530755711,0.9680645843242959,10
exp_236,fedprox,cancer,noniid,5,,true,0.0,0.8787346221441125,0.9714074308968871,10
exp_237,fedprox,cancer,noniid,10,,true,0.0,0.9156414762741653,0.9583135140848793,10
